release site,year,released,sal_tot,sal_cvp,sal_swp,fall,winter,late_fall,dcc,CI,km,sac_in,exports,exp_prop_sac,length,ocean_adj,ci_cpue,km_z,sac_in_z,exports_z,length_z,ocean_adj_z,ci_cpue_z,CVP,SWP,CVP_z,SWP_z,OMR_z,SJ_Z,pro_z
col,2007,93540,275,78,197,0,0,1,0,32,576.860531,13500,10546,0.781185185,135,NA,9.552,0.653240579,-0.776567075,1.491646939,2.026199152,NA,0.878208189,4380.571429,3194.142857,1.331144458,0.185300392,-0.756405667,-0.493745147,2.759529471
col,2007,95905,219,87,132,0,0,1,0,20,576.860531,13500,10546,0.781185185,137,NA,5.97,0.653240579,-0.776567075,1.491646939,2.102889586,NA,0.325186621,4380.571429,3194.142857,1.331144458,0.185300392,-0.756405667,-0.493745147,2.759529471
col,2007,95986,146,55,91,0,0,1,0,26,576.860531,13500,10546,0.781185185,132,NA,8.681,0.653240579,-0.776567075,1.491646939,1.911163501,NA,0.743735328,4380.571429,3194.142857,1.331144458,0.185300392,-0.756405667,-0.493745147,2.759529471
live_oak,1996,100033,0,0,0,1,0,0,1,57,257.838619,18300,9807,0.535901639,80,2178,17.066,-0.812360639,-0.546640259,1.273437959,-0.082787784,3.638858807,2.038287491,4386.857143,4352.142857,1.335588149,0.753657238,0.743890934,0.127529045,1.470607221
verona,2000,101115,3,0,3,1,0,0,0,36,170.438619,32000,2396,0.074875,64,761,5.573,-1.213880226,0.109609193,-0.914852631,-0.696311257,0.855565429,0.263894169,833,1572,-1.176814111,-0.610861956,-0.089525468,0.585223064,-0.952007352
verona,2000,103165,0,0,0,1,0,0,0,16,170.438619,32000,2396,0.074875,64,1040,2.486,-1.213880226,0.109609193,-0.914852631,-0.696311257,1.403581556,-0.212704821,833,1572,-1.176814111,-0.610861956,-0.089525468,0.585223064,-0.952007352
col,1995,125754,458,36,422,0,0,1,0,64,576.860531,85700,12219,0.142578763,138,3736,53.2,0.653240579,2.68191544,1.985643722,2.141234803,6.699106572,7.616981332,4154.285714,8114.142857,1.171171584,2.600080773,-1.022764555,-0.690371819,-0.596235886
col,1995,128159,232,96,136,0,0,1,0,34,576.860531,82400,12260,0.148786408,127,2841,21.223,0.653240579,2.523840754,1.997750038,1.719437416,4.94113369,2.680082761,4164.714286,8115.428571,1.178544071,2.600711814,-0.964825711,-0.667239269,-0.563615795
col,1996,129697,733,108,625,0,0,1,0,57,576.860531,17500,11247,0.642685714,134,2385,57,0.653240579,-0.584961395,1.698635429,1.987853935,4.045451418,8.203659712,4279.857143,6092.857143,1.25994441,1.608015511,-0.178332024,-0.544967221,2.031738909
col,1996,268960,0,0,0,1,0,0,0,125,576.860531,24500,1993,0.081346939,80,4221,37.425,0.653240579,-0.249651456,-1.033848867,-0.082787784,7.651751095,5.181494108,899.1428571,723,-1.130054364,-1.027558814,0.856976578,0.267976668,-0.917998441
col,1996,295384,4,0,4,1,0,0,0,62,576.860531,42800,4828,0.112803738,65,1599,18.235,0.653240579,0.626944528,-0.196741348,-0.65796604,2.501578026,2.218768288,925.2857143,3629,-1.111572649,0.3987322,1.615545705,1.832728422,-0.752698449
col,1996,308443,0,0,0,1,0,0,0,90,576.860531,37500,7135,0.190266667,68,2996,26.471,0.653240579,0.373067002,0.484460432,-0.542930389,5.245587094,3.490316482,4322,3049.857143,1.289737337,0.114483661,0.820821759,1.056135682,-0.345644269
col,2007,1278401,10,10,0,1,0,0,0,207,576.860531,12200,2178,0.17852459,77,NA,63.692,0.653240579,-0.838838921,-0.979222803,-0.197823435,NA,9.236831217,938.1428571,712.1428571,-1.102483281,-1.032887598,-0.330684694,-0.64080207,-0.407346835
col,2007,1432683,19,0,19,1,0,0,0,90,576.860531,9570,1525,0.159352142,75,NA,28.708,0.653240579,-0.964819655,-1.172038045,-0.274513869,NA,3.835684781,850.2857143,691.5714286,-1.164593961,-1.042984241,0.445342107,-0.384691698,-0.508094705
